@relation training

@attribute content string
@attribute status {resolved, unresolved}

@data
'not', unresolved
'fix', unresolved
'fixed', resolved
'instructions', resolved
'issue', unresolved
'?', unresolved
'finished', resolved
'another', resolved
'not', unresolved
'fix', unresolved
'fixed', resolved
'instructions', resolved
'issue', unresolved
'?', unresolved
'finished', resolved
'another', resolved
'not', unresolved
'fix', unresolved
'fixed', resolved
'instructions', resolved
'issue', unresolved
'?', unresolved
'finished', resolved
'another', resolved
'not', unresolved
'fix', unresolved
'fixed', resolved
'instructions', resolved
'issue', unresolved
'?', unresolved
'finished', resolved
'another', resolved
'I found the problem and made a new pull request to fix it! Closing this issue now', resolved
'I am closing this issue but it is not fixed', unresolved
'super cool closing this issue', resolved
'another comment', unresolved
'I found the problem and made a new pull request to fix it! Closing this issue now', resolved
'That s a cool suggestion! Will consider it.', unresolved
'These changes were introduced last night', resolved
'Anyway, will figure out a workaround for that too', unresolved
'Thank you for the update. Looking forward to it.', unresolved
'Will fix it ASAP', unresolved
'Glad it worked out!', resolved
'I think this should be left as it is since the user might want to copy contents from a history entry.', resolved
'Oh! Will fix that.', unresolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'As there is no developer tools on mobile, I resorted to simply displaying a generic error message.', unresolved
'Will consider adding a focus state indication ASAP', unresolved
'Here we go', resolved
'Thanks for the ultra fast reply :)', resolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Related with', unresolved
'Working on it!', unresolved
'I ve made the fixes btw. Making the PR now.', resolved
'Nope. I ve cleared site data and perform hard reset but the issue still persist.', unresolved
'Good. Committing request Code to vuex was a foolish thing to do.', resolved
'Yup, This was fixed !', resolved
'Ohh! Will look into it asap', unresolved
'I ve put up a pull request to add', resolved
'let me know if you need more info?', unresolved
'I still think this is an issue though, feel free to close this if you think otherwise.', unresolved
'Nope your PR works fine!', resolved
'Solved in ', resolved
'Working on this. Just a simple fix.', unresolved
'Closing this issues since it a possible duplicate of', unresolved
'Yeah! That correct. Just saw the branch. Make the PR. Will merge right away!', unresolved
'Thank you, I was selecting the collection the folder but not the request :D', resolved
'It almost done', unresolved
'Please refer to', resolved
'Oops sorry Closing the issue, sorry guys', resolved
'thought I should ping you to know the update on this issue.', unresolved
' is working on proxy mode for WebSocket.', unresolved
'resolves this hence closing', resolved
'I can not repro it anymore either. Probably some sort of user error!!', unresolved
'Verified! Thanks so much!', resolved
'Closed by accident', unresolved
'hence closing', resolved
'Feel free to test my fork and please do report if the issue still persists.', resolved
'Yayy thank you! :)', resolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Added Telegram group link to README on hence closing', resolved
'Everything seems to working as desired now.', resolved
'Please refer to ', resolved
'This is the footer release and commit sha I m talking about.', unresolved
'could make a PR for all changes till now, I ll look into it.', unresolved
'fixed this hencing closing.', resolved
'Possibly a duplicate of ', unresolved
'For some reason were running into a CORS issue when the request body is not set (it looks like axios is treating the request differently.)', unresolved
'Now the version number is correctly fetching from package.json and release tag, so I think I should this issue.', resolved
'When I try to format on my local, still changes a lot of lines.', unresolved
'I can confirm it is working again on my end as well! +1 Thanks for the quick response & fix.', resolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Closed by accident. Sorry.', unresolved
'closing in favor of', unresolved
'Ohh! Will look into it asap', unresolved
'Ohh! Will look into it asap', unresolved
'Ohh! Will look into it asap', unresolved
'Ohh! Will look into it asap', unresolved
'Ohh! Will look into it asap', unresolved
'Ohh! Will look into it asap', unresolved
'Ohh! Will look into it asap', unresolved
'Ohh! Will look into it asap', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Not sure that the case.', unresolved
'I want to work on it.', unresolved
'Will fix it ASAP', unresolved
'Will fix it ASAP', unresolved
'Will fix it ASAP', unresolved
'Will fix it ASAP', unresolved
'Will fix it ASAP', unresolved
'Will fix it ASAP', unresolved
'Will fix it ASAP', unresolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'hence closing', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved
'Solved in', resolved
'Solved on', resolved
'Solved on commit', resolved


